	Name	Tags	Type	Source Zone	Source Address	Source User	Source Device	Destination Zone	Destination Address	Destination Device	Application	Service	Action	Profile	Options	Rule Usage Hit Count	Rule Usage Last Hit	Rule Usage First Hit	Rule Usage Apps Seen	Days With No New Apps	Modified	Created	Disbaled
1	[Disabled]  palo_Duo	[Disabled] none	[Disabled] universal	[Disabled]  LAN	[Disabled]  10.11.240.95/32	[Disabled]  any	[Disabled]  any	[Disabled]  WAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  application-default	[Disabled]  Allow	Profile Group: RDCC	Traffic log sent at session end	6280	02-06-2026 18:33	02-06-2026 15:55	1	4	02-06-2026 18:33	02-06-2026 15:55	[Disabled]  palo_Duo
2	[Disabled]  UAT SERVER COMMUNICATION	[Disabled]  LAN-MPLS	[Disabled] universal	[Disabled]  LAN	[Disabled]  172.29.190.20/32	[Disabled]  any	[Disabled]  any	[Disabled]  MPLS	[Disabled]  172.29.19.182/32	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  Allow	Profile Group: RDCC	Traffic log sent at session end	2107	15-09-2025 19:48	13-09-2025 11:31	4	266	03-02-2026 12:00	12-09-2025 19:28	[Disabled]  UAT SERVER COMMUNICATION
3	AD SERVER TO SOC SERVER	LAN-MPLS	universal	LAN	10.11.240.1/32;10.11.240.2/32;10.11.240.5/32;10.11.240.95/32;192.168.110.141/32;192.168.130.151/32	any	any	MPLS	172.29.19.102/32	any	any	DCE-RPC 135;SMB-445	Allow	Profile Group: RDCC	Traffic log sent at session end	4	29-11-2025 13:22	29-11-2025 13:22	-	-	03-02-2026 12:00	28-11-2025 17:47	[Disabled]  MAIL SERVER ACCES
4	NTP BLOCK	MPLS-LAN	universal	MPLS	185.185.40.33/32	any	any	LAN	192.168.110.147/32	any	any	48529	Deny	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	25-03-2026 14:36	25-03-2026 14:36	[Disabled]  LAN-WAN
5	PM TO DC Communication	none	universal	LAN	192.168.110.191/32	any	any	MPLS	any	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	1359202	06-06-2026 12:42	03-02-2026 12:38	15	118	03-02-2026 12:38	03-02-2026 12:38	[Disabled]  LAN-MPLS
6	MIS TO NDR  DB	MPLS-LAN	universal	MPLS	192.168.15.144/32	any	any	LAN	192.168.130.151/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	978	06-06-2026 12:41	26-12-2025 13:18	3	162	26-12-2025 13:18	26-12-2025 13:18	[Disabled]  WAN-LAN
7	NDR DB TO MIS	LAN-MPLS	universal	MPLS	192.168.130.151/32	any	any	LAN	192.168.15.144/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	333	26-12-2025 12:32	26-12-2025 12:11	2	162	26-12-2025 13:18	26-12-2025 12:12	[Disabled]  TEMP_POLICY
8	SOC SERVER TO NDR SERVER	MPLS-LAN	universal	LAN	172.29.19.102/32	any	any	LAN	192.168.110.141/32;192.168.130.151/32	any	any	DCE-RPC 135;SMB-445	Allow	Profile Group: RDCC	Traffic log sent at session end	1216	19-12-2025 15:19	19-12-2025 15:09	-	-	28-11-2025 17:56	28-11-2025 17:56	
9	Test SQL to DB	LAN-MPLS	universal	LAN	192.168.130.170/32	any	any	MPLS	192.168.13.155/24	any	any	application-default	Allow	none	Traffic log sent at session end	647	11-08-2025 18:35	07-08-2025 19:21	4	299	07-08-2025 19:12	07-08-2025 19:12	
10	TEST  MIS  SERVER	none	universal	LAN	192.168.130.170/32	any	any	MPLS	192.168.15.144/32	any	any	any	Allow	none	Traffic log sent at session end	145122	06-09-2025 10:28	04-09-2025 16:58	2	275	04-09-2025 16:50	04-09-2025 16:29	
11	DNS	LAN-WAN	universal	LAN	any	any	any	any	any	any	dns;dns-base;dns-over-https;icmp;ping	any	Allow	none	Traffic log sent at session end	660098126	06-06-2026 12:42	29-04-2025 13:01	4	310	09-07-2025 13:12	29-04-2025 13:00	
12	DR DRILL 30-JLY	MPLS-LAN	universal	MPLS	10.101.7.72/32;10.101.17.0/24;10.101.19.0/24;10.200.45.129/32;192.168.0.0/24;192.168.11.0/24	any	any	LAN	172.29.190.25/32;192.168.115.169/32;192.168.115.175/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	39206	06-06-2026 12:34	30-07-2025 15:43	14	29	17-03-2026 18:25	30-07-2025 14:59	
13	Reverse DR DRILL 30-JLY-1	LAN-MPLS	universal	LAN	172.29.190.29/32;192.168.115.169/32;192.168.115.175/32	any	any	MPLS	10.101.7.72/32;10.101.17.0/32;10.101.19.0/32;10.200.45.129/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	25-03-2026 14:36	17-03-2026 21:35	
14	Fortianalyzer reverse	LAN-MPLS	universal	LAN	10.11.250.21/32	any	any	MPLS	10.10.240.0/24;172.29.19.102/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	292303	06-06-2026 12:41	13-05-2025 12:59	3	383	13-05-2025 12:59	13-05-2025 12:32	
15	TEST	LAN-WAN	universal	LAN	10.11.240.71/32;192.168.110.147/32	any	any	WAN	any	any	any	application-default	Allow	Profile Group: RDCC	Traffic log sent at session end	285005	06-06-2026 12:41	12-06-2025 15:17	6	318	17-01-2026 15:17	12-06-2025 13:12	
16	fortianalyzer  access-fatpipe	MPLS-LAN	universal	MPLS	10.10.150.1/32;10.10.240.0/24;10.110.110.161/32;10.110.110.162/32;10.110.110.241/24	any	any	LAN	10.11.250.21/32	any	any	any	Allow	none	Traffic log sent at session end	273855	06-06-2026 12:41	17-04-2025 18:13	7	155	19-05-2025 17:30	15-04-2025 20:02	
17	EPC TEST	none	universal	LAN	NDR_USERSUBNET	any	any	MPLS	NEW_EPC	any	any	any	Allow	none	Traffic log sent at session end	291528	06-06-2026 12:41	20-06-2025 17:46	5	217	20-06-2025 17:46	20-06-2025 17:46	
